allele,gene_family,whitelisted_taxa,product_name,scope,type,subtype,class_new,subclass_new,refseq_protein_accession,refseq_nucleotide_accession,curated_refseq_start,genbank_protein_accession,genbank_nucleotide_accession,genbank_strand,genbank_start,genbank_stop,refseq_strand,refseq_start,refseq_stop,pubmed_reference,blacklisted_taxa,synonyms,hierarchy_node,db_version,mut_acc,key,enhanced_class,enhanced_subclass,Status,Previous_class,Previous_subclass,NS Changes,NS comments
blaOXA-155,blaOXA,,OXA-62 family carbapenem-hydrolyzing class D beta-lactamase OXA-155,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_063861067.1,NG_049454.1,No,ALA99189.1,KP771983.1,+,170,1048,+,101,979,26349828,,,blaOXA-155,2026-03-24.1,blaOXA-155__NG_049454.1,WP_063861067.1,Beta-lactam,Carbapenemase,existing,,,,
blaOXA-156,blaOXA,,OXA-62 family carbapenem-hydrolyzing class D beta-lactamase OXA-156,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_052266736.1,NG_049455.1,No,ALA99190.1,KP771984.1,+,633,1484,+,101,952,26349828,,,blaOXA-156,2026-03-24.1,blaOXA-156__NG_049455.1,WP_052266736.1,Beta-lactam,Carbapenemase,existing,,,,
blaOXA-157,blaOXA,,OXA-62 family carbapenem-hydrolyzing class D beta-lactamase OXA-157,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_058375744.1,NG_049456.1,No,ALA99191.1,KP771985.1,+,173,1030,+,101,958,26349828,,,blaOXA-157,2026-03-24.1,blaOXA-157__NG_049456.1,WP_058375744.1,Beta-lactam,Carbapenemase,existing,,,,
blaOXA-158,blaOXA,,OXA-62 family carbapenem-hydrolyzing class D beta-lactamase OXA-158,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_063861081.1,NG_049457.1,No,ALA99192.1,KP771986.1,+,1029,1880,+,101,952,26349828,,,blaOXA-158,2026-03-24.1,blaOXA-158__NG_049457.1,WP_063861081.1,Beta-lactam,Carbapenemase,existing,,,,
blaOXA-159,blaOXA,,OXA-62 family carbapenem-hydrolyzing class D beta-lactamase OXA-159,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_063861087.1,NG_049458.1,No,ALA99193.1,KP771987.1,+,120,971,+,101,952,26349828,,,blaOXA-159,2026-03-24.1,blaOXA-159__NG_049458.1,WP_063861087.1,Beta-lactam,Carbapenemase,existing,,,,
blaOXA-160,blaOXA,,OXA-24 family carbapenem-hydrolyzing class D beta-lactamase OXA-160,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_063861093.1,NG_049459.1,No,ADB28891.1,GU199038.2,+,1196,2023,+,101,928,21041501,,,blaOXA-160,2026-03-24.1,blaOXA-160__NG_049459.1,WP_063861093.1,Beta-lactam,Carbapenemase,existing,,,,
blaOXA-161,blaOXA,,OXA-2 family extended-spectrum class D beta-lactamase OXA-161,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_063861101.1,NG_049460.1,No,ACT09125.1,GQ202693.1,+,1172,1999,+,101,928,19770278,,,blaOXA-161,2026-03-24.1,blaOXA-161__NG_049460.1,WP_063861101.1,Beta-lactam,ESBL,existing,,,,
blaOXA-162,blaOXA,,OXA-48 family carbapenem-hydrolyzing class D beta-lactamase OXA-162,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_060613455.1,NG_049461.1,No,ADG27454.1,HM015773.1,+,2127,2924,+,101,898,22290940,,,blaOXA-162,2026-03-24.1,blaOXA-162__NG_049461.1,WP_060613455.1,Beta-lactam,Carbapenemase,existing,,,,
blaOXA-163,blaOXA,,OXA-48 family extended-spectrum class D beta-lactamase OXA-163,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_063131934.1,NG_049462.1,No,ADY06444.1,HQ700343.1,+,1,786,+,1,786,"214,222,003,520,871,000,000,000",,,blaOXA-163,2026-03-24.1,blaOXA-163__NG_049462.1,WP_063131934.1,Beta-lactam,ESBL,existing,,,,
blaOXA-164,blaOXA,,OXA-58 family carbapenem-hydrolyzing class D beta-lactamase OXA-164,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_063861121.1,NG_049463.1,No,ADK34116.1,GU831575.1,+,1,843,+,1,843,20921306,,,blaOXA-164,2026-03-24.1,blaOXA-164__NG_049463.1,WP_063861121.1,Beta-lactam,Carbapenemase,existing,,,,
blaOXA-165,blaOXA,,OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-165,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_063861123.1,NG_049464.1,No,ADK35869.1,HM488986.1,+,1,822,+,1,822,,,,blaOXA-165,2026-03-24.1,blaOXA-165__NG_049464.1,WP_063861123.1,Beta-lactam,Carbapenemase,existing,,,,
blaOXA-166,blaOXA,,OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-166,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_063861129.1,NG_049465.1,No,ADK35870.1,HM488987.1,+,1,822,+,1,822,,,,blaOXA-166,2026-03-24.1,blaOXA-166__NG_049465.1,WP_063861129.1,Beta-lactam,Carbapenemase,existing,,,,
blaOXA-167,blaOXA,,OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-167,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_063861133.1,NG_049466.1,No,ADK35871.1,HM488988.1,+,1,822,+,1,822,,,,blaOXA-167,2026-03-24.1,blaOXA-167__NG_049466.1,WP_063861133.1,Beta-lactam,Carbapenemase,existing,,,,
blaOXA-168,blaOXA,,OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-168,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_063861136.1,NG_049467.1,No,ADK35872.1,HM488989.1,+,1,822,+,1,822,,,,blaOXA-168,2026-03-24.1,blaOXA-168__NG_049467.1,WP_063861136.1,Beta-lactam,Carbapenemase,existing,,,,
blaOXA-169,blaOXA,,OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-169,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_063861140.1,NG_049468.1,No,ADK35873.1,HM488990.1,+,1,822,+,1,822,,,,blaOXA-169,2026-03-24.1,blaOXA-169__NG_049468.1,WP_063861140.1,Beta-lactam,Carbapenemase,existing,,,,
blaOXA-17,blaOXA,,OXA-10 family extended-spectrum class D beta-lactamase OXA-17,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_032491804.1,NG_049469.1,No,ABI63579.1,DQ902344.1,+,2717,3517,+,101,901,10348753,,,blaOXA-17,2026-03-24.1,blaOXA-17__NG_049469.1,WP_032491804.1,Beta-lactam,ESBL,existing,,,,
blaOXA-170,blaOXA,,OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-170,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_063861151.1,NG_049470.1,No,ADK35874.1,HM488991.1,+,1,822,+,1,822,,,,blaOXA-170,2026-03-24.1,blaOXA-170__NG_049470.1,WP_063861151.1,Beta-lactam,Carbapenemase,existing,,,,
blaOXA-171,blaOXA,,OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-171,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_063861157.1,NG_049471.1,No,ADK35875.1,HM488992.1,+,1,822,+,1,822,,,,blaOXA-171,2026-03-24.1,blaOXA-171__NG_049471.1,WP_063861157.1,Beta-lactam,Carbapenemase,existing,,,,
blaOXA-172,blaOXA,,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-172,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_039099030.1,NG_049472.1,No,ADI58616.1,HM113558.1,+,1,825,+,1,825,20713680,,,blaOXA-172,2026-03-24.1,blaOXA-172__NG_049472.1,WP_039099030.1,Beta-lactam,Carbapenemase (OXA-51 family),existing,,,,
blaOXA-173,blaOXA,,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-173,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_063861179.1,NG_049473.1,No,ADI58617.1,HM113559.1,+,1,825,+,1,825,20713680,,,blaOXA-173,2026-03-24.1,blaOXA-173__NG_049473.1,WP_063861179.1,Beta-lactam,Carbapenemase (OXA-51 family),existing,,,,
blaOXA-174,blaOXA,,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-174,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_063861185.1,NG_049474.1,No,ADI58618.1,HM113560.1,+,1,825,+,1,825,20713680,,,blaOXA-174,2026-03-24.1,blaOXA-174__NG_049474.1,WP_063861185.1,Beta-lactam,Carbapenemase (OXA-51 family),existing,,,,
blaOXA-175,blaOXA,,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-175,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_063861191.1,NG_049475.1,No,ADI58619.1,HM113561.1,+,1,825,+,1,825,20713680,,,blaOXA-175,2026-03-24.1,blaOXA-175__NG_049475.1,WP_063861191.1,Beta-lactam,Carbapenemase (OXA-51 family),existing,,,,
blaOXA-176,blaOXA,,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-176,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_063861208.1,NG_049476.1,No,ADI58620.1,HM113562.1,+,1,825,+,1,825,20713680,,,blaOXA-176,2026-03-24.1,blaOXA-176__NG_049476.1,WP_063861208.1,Beta-lactam,Carbapenemase (OXA-51 family),existing,,,,
blaOXA-177,blaOXA,,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-177,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_063861213.1,NG_049477.1,No,ADI58621.1,HM113563.1,+,1,825,+,1,825,20713680,,,blaOXA-177,2026-03-24.1,blaOXA-177__NG_049477.1,WP_063861213.1,Beta-lactam,Carbapenemase (OXA-51 family),existing,,,,
blaOXA-178,blaOXA,,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-178,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_063861221.1,NG_049478.1,No,ADI58622.1,HM113564.1,+,1,825,+,1,825,,,,blaOXA-178,2026-03-24.1,blaOXA-178__NG_049478.1,WP_063861221.1,Beta-lactam,Carbapenemase (OXA-51 family),existing,,,,
blaOXA-179,blaOXA,,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-179,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_063861229.1,NG_049479.1,No,ADM26744.1,HM570035.1,+,1,825,+,1,825,21393175,,,blaOXA-179,2026-03-24.1,blaOXA-179__NG_049479.1,WP_063861229.1,Beta-lactam,Carbapenemase (OXA-51 family),existing,,,,
blaOXA-18,blaOXA,,extended-spectrum class D beta-lactamase OXA-18,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_277915723.1,NG_049480.2,Yes,,U85514.1,+,168,977,+,101,910,"933,304,617,610,599",,,blaOXA-18,2026-03-24.1,blaOXA-18__NG_049480.2,WP_277915723.1,Beta-lactam,ESBL,existing,,,,
blaOXA-180,blaOXA,,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-180,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_001021783.1,NG_049481.1,No,ADM26745.1,HM570036.1,+,1,825,+,1,825,21393175,,,blaOXA-180,2026-03-24.1,blaOXA-180__NG_049481.1,WP_001021783.1,Beta-lactam,Carbapenemase (OXA-51 family),existing,,,,
blaOXA-181,blaOXA,,OXA-48 family carbapenem-hydrolyzing class D beta-lactamase OXA-181,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_015060052.1,NG_049482.1,No,AEP16366.1,JN205800.1,+,4141,4938,+,101,898,"2,176,850,537,255,460",,,blaOXA-181,2026-03-24.1,blaOXA-181__NG_049482.1,WP_015060052.1,Beta-lactam,Carbapenemase,existing,,,,
blaOXA-182,blaOXA,,OXA-143 family carbapenem-hydrolyzing class D beta-lactamase OXA-182,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_063861266.1,NG_049483.1,No,ADK92148.1,HM640278.2,+,1,828,+,1,828,20884158,,,blaOXA-182,2026-03-24.1,blaOXA-182__NG_049483.1,WP_063861266.1,Beta-lactam,Carbapenemase,existing,,,,
blaOXA-183,blaOXA,,OXA-10 family extended-spectrum class D beta-lactamase OXA-183,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_063861272.1,NG_049484.1,No,ADV41666.1,HQ111474.1,+,1057,1857,+,101,901,40167371,,,blaOXA-183,2026-03-24.1,blaOXA-183__NG_049484.1,WP_063861272.1,Beta-lactam,ESBL,existing,,,,
blaOXA-184,blaOXA,,OXA-184 family class D beta-lactamase OXA-184,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,WP_002872405.1,NG_049485.1,No,AFO09968.1,JQ396378.1,+,1,747,+,1,747,,,,blaOXA-184,2026-03-24.1,blaOXA-184__NG_049485.1,WP_002872405.1,Beta-lactam,Beta-lactam,existing,,,,
blaOXA-185,blaOXA,,OXA-184 family class D beta-lactamase OXA-185,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,WP_063861300.1,NG_049486.1,No,AFO09969.1,JQ396379.1,+,1,747,+,1,747,,,,blaOXA-185,2026-03-24.1,blaOXA-185__NG_049486.1,WP_063861300.1,Beta-lactam,Beta-lactam,existing,,,,
blaOXA-19,blaOXA,,OXA-10 family extended-spectrum class D beta-lactamase OXA-19,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_063861309.1,NG_049487.1,No,AAD02245.1,AF043381.1,+,944,1744,+,101,901,9835500,,,blaOXA-19,2026-03-24.1,blaOXA-19__NG_049487.1,WP_063861309.1,Beta-lactam,ESBL,existing,,,,
blaOXA-192,blaOXA,,OXA-63 family oxacillin-hydrolyzing class D beta-lactamase OXA-192,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,WP_063861316.1,NG_049488.1,No,ADZ54048.1,JF273470.1,+,1,810,+,1,810,21812718,,,blaOXA-192,2026-03-24.1,blaOXA-192__NG_049488.1,WP_063861316.1,Beta-lactam,Beta-lactam,existing,,,,
blaOXA-193,blaOXA,,OXA-61 family class D beta-lactamase OXA-193,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,WP_002783228.1,NG_049489.1,No,CAL34450.1,AL111168.1,+,273321,274094,+,101,874,10688204,,,blaOXA-193,2026-03-24.1,blaOXA-193__NG_049489.1,WP_002783228.1,Beta-lactam,Beta-lactam,existing,,,,
blaOXA-194,blaOXA,,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-194,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_063861475.1,NG_049490.1,No,AEB98920.1,HQ425492.1,+,1,822,+,1,825,22083478,,,blaOXA-194,2026-03-24.1,blaOXA-194__NG_049490.1,WP_063861475.1,Beta-lactam,Carbapenemase (OXA-51 family),existing,,,,
blaOXA-195,blaOXA,,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-195,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_063861482.1,NG_049491.1,No,AEB98921.1,HQ425493.1,+,1,822,+,1,825,22083478,,,blaOXA-195,2026-03-24.1,blaOXA-195__NG_049491.1,WP_063861482.1,Beta-lactam,Carbapenemase (OXA-51 family),existing,,,,
blaOXA-196,blaOXA,,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-196,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_063861486.1,NG_049492.1,No,AEB98922.1,HQ425494.1,+,1,822,+,1,825,22083478,,,blaOXA-196,2026-03-24.1,blaOXA-196__NG_049492.1,WP_063861486.1,Beta-lactam,Carbapenemase (OXA-51 family),existing,,,,
blaOXA-197,blaOXA,,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-197,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_063861490.1,NG_049493.1,No,AEB98923.1,HQ425495.1,+,1,822,+,1,825,22083478,,,blaOXA-197,2026-03-24.1,blaOXA-197__NG_049493.1,WP_063861490.1,Beta-lactam,Carbapenemase (OXA-51 family),existing,,,,
blaOXA-198,blaOXA,,carbapenem-hydrolyzing class D beta-lactamase OXA-198,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_094865115.1,NG_049494.2,Yes,,HQ634775.2,+,3025,3801,+,101,877,"217,884,732,958,111,000,000,000",,,blaOXA-198,2026-03-24.1,blaOXA-198__NG_049494.2,WP_094865115.1,Beta-lactam,Carbapenemase,existing,,,,
blaOXA-199,blaOXA,,OXA-48 family carbapenem-hydrolyzing class D beta-lactamase OXA-199,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_063861505.1,NG_049495.1,No,AFC95894.1,JN704570.1,+,4039,4836,+,101,898,23110226,,,blaOXA-199,2026-03-24.1,blaOXA-199__NG_049495.1,WP_063861505.1,Beta-lactam,Carbapenemase,existing,,,,
blaOXA-2,blaOXA,,oxacillin-hydrolyzing class D beta-lactamase OXA-2,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,WP_001007673.1,NG_049496.1,No,CAA30246.1,X07260.1,+,701,1528,+,101,928,"387,694,940,167,371",,,blaOXA-2,2026-03-24.1,blaOXA-2__NG_049496.1,WP_001007673.1,Beta-lactam,Beta-lactam,existing,,,,
blaOXA-20,blaOXA,,oxacillin-hydrolyzing class D beta-lactamase OXA-20,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,WP_000586782.1,NG_049497.1,No,AAC23554.1,AF024602.1,+,1238,2038,+,101,901,9687410,,,blaOXA-20,2026-03-24.1,blaOXA-20__NG_049497.1,WP_000586782.1,Beta-lactam,Beta-lactam,existing,,,,
blaOXA-200,blaOXA,,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-200,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_063861547.1,NG_049498.1,No,ADX07745.1,HQ734811.1,+,1,825,+,1,825,22422849,,,blaOXA-200,2026-03-24.1,blaOXA-200__NG_049498.1,WP_063861547.1,Beta-lactam,Carbapenemase (OXA-51 family),existing,,,,
blaOXA-201,blaOXA,,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-201,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_063861553.1,NG_049499.1,No,ADX07746.1,HQ734812.1,+,1,825,+,1,825,22422849,,,blaOXA-201,2026-03-24.1,blaOXA-201__NG_049499.1,WP_063861553.1,Beta-lactam,Carbapenemase (OXA-51 family),existing,,,,
blaOXA-202,blaOXA,,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-202,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_063861560.1,NG_049500.1,No,ADX07747.1,HQ734813.1,+,1,825,+,1,825,22422849,,,blaOXA-202,2026-03-24.1,blaOXA-202__NG_049500.1,WP_063861560.1,Beta-lactam,Carbapenemase (OXA-51 family),existing,,,,
blaOXA-203,blaOXA,,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-203,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_063861567.1,NG_049501.1,No,ADX07748.1,HQ998857.1,+,1,825,+,1,825,21289143,,,blaOXA-203,2026-03-24.1,blaOXA-203__NG_049501.1,WP_063861567.1,Beta-lactam,Carbapenemase (OXA-51 family),existing,,,,
blaOXA-204,blaOXA,,OXA-48 family carbapenem-hydrolyzing class D beta-lactamase OXA-204,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_032495449.1,NG_049502.1,No,AFU91598.1,JQ809466.1,+,5375,6172,+,101,898,23114766,,,blaOXA-204,2026-03-24.1,blaOXA-204__NG_049502.1,WP_032495449.1,Beta-lactam,Carbapenemase,existing,,,,
blaOXA-205,blaOXA,,OXA-46 family oxacillin-hydrolyzing class D beta-lactamase OXA-205,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,WP_063861588.1,NG_049503.1,No,AEO92079.1,JF800667.1,+,658,1458,+,101,901,,,,blaOXA-205,2026-03-24.1,blaOXA-205__NG_049503.1,WP_063861588.1,Beta-lactam,Beta-lactam,existing,,,,
blaOXA-206,blaOXA,,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-206,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_063861592.1,NG_049504.1,No,BAL15076.1,AB634250.1,+,1,825,+,1,825,,,,blaOXA-206,2026-03-24.1,blaOXA-206__NG_049504.1,WP_063861592.1,Beta-lactam,Carbapenemase (OXA-51 family),existing,,,,
blaOXA-207,blaOXA,,OXA-24 family carbapenem-hydrolyzing class D beta-lactamase OXA-207,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_057689930.1,NG_049505.1,No,AFK28473.1,JQ838185.1,+,1,828,+,1,828,24890588,,,blaOXA-207,2026-03-24.1,blaOXA-207__NG_049505.1,WP_057689930.1,Beta-lactam,Carbapenemase,existing,,,,
blaOXA-208,blaOXA,,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-208,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_001021780.1,NG_049506.1,No,CCA94644.1,FR853176.1,+,1,825,+,1,825,,,,blaOXA-208,2026-03-24.1,blaOXA-208__NG_049506.1,WP_001021780.1,Beta-lactam,Carbapenemase (OXA-51 family),existing,,,,
blaOXA-209,blaOXA,,class D beta-lactamase OXA-209,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,WP_014053563.1,NG_049507.1,No,AEM66528.1,JF268688.1,-,5408,6232,+,101,925,21820820,,,blaOXA-209,2026-03-24.1,blaOXA-209__NG_049507.1,WP_014053563.1,Beta-lactam,Beta-lactam,existing,,,,
blaOXA-21,blaOXA,,OXA-2 family oxacillin-hydrolyzing class D beta-lactamase OXA-21,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,WP_014386432.1,NG_049508.1,No,CAA71699.2,Y10693.2,+,1,828,+,1,828,9420053,,,blaOXA-21,2026-03-24.1,blaOXA-21__NG_049508.1,WP_014386432.1,Beta-lactam,Beta-lactam,existing,,,,
blaOXA-210,blaOXA,,OXA-2 family extended-spectrum class D beta-lactamase OXA-210,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_063861649.1,NG_049509.1,No,AEE61368.1,JF795487.1,+,1,828,+,1,828,40167371,,,blaOXA-210,2026-03-24.1,blaOXA-210__NG_049509.1,WP_063861649.1,Beta-lactam,ESBL,existing,,,,
blaOXA-211,blaOXA,,carbapenem-hydrolyzing class D beta-lactamase OXA-211,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_063861666.1,NG_049510.1,No,AEV91550.1,JN861779.1,+,1,825,+,1,825,22128805,,,blaOXA-211,2026-03-24.1,blaOXA-211__NG_049510.1,WP_063861666.1,Beta-lactam,Carbapenemase,existing,,,,
blaOXA-212,blaOXA,,OXA-211 family carbapenem-hydrolyzing class D beta-lactamase OXA-212,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_063861677.1,NG_049511.1,No,AEV91551.1,JN861780.1,+,1,825,+,1,825,22128805,,,blaOXA-212,2026-03-24.1,blaOXA-212__NG_049511.1,WP_063861677.1,Beta-lactam,Carbapenemase,existing,,,,
blaOXA-213,blaOXA,,carbapenem-hydrolyzing class D beta-lactamase OXA-213,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_005047495.1,NG_049512.1,No,AEV91552.1,JN861781.1,+,1,822,+,1,822,22128805,,,blaOXA-213,2026-03-24.1,blaOXA-213__NG_049512.1,WP_005047495.1,Beta-lactam,Carbapenemase,existing,,,,
blaOXA-214,blaOXA,,carbapenem-hydrolyzing class D beta-lactamase OXA-214,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_008942158.1,NG_049513.1,No,AEV91553.1,JN861782.1,+,1,828,+,1,828,22128805,,,blaOXA-214,2026-03-24.1,blaOXA-214__NG_049513.1,WP_008942158.1,Beta-lactam,Carbapenemase,existing,,,,
blaOXA-215,blaOXA,,OXA-214 family carbapenem-hydrolyzing class D beta-lactamase OXA-215,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_063861712.1,NG_049514.1,No,AEV91554.1,JN861783.1,+,1,828,+,1,828,22128805,,,blaOXA-215,2026-03-24.1,blaOXA-215__NG_049514.1,WP_063861712.1,Beta-lactam,Carbapenemase,existing,,,,
blaOXA-216,blaOXA,,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-216,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_063861733.1,NG_049515.1,No,CCA94649.1,FR865168.1,+,1,825,+,1,825,22325121,,,blaOXA-216,2026-03-24.1,blaOXA-216__NG_049515.1,WP_063861733.1,Beta-lactam,Carbapenemase (OXA-51 family),existing,,,,
blaOXA-217,blaOXA,,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-217,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_031978611.1,NG_049516.1,No,AEO44980.1,JN603240.1,+,1,825,+,1,825,22325121,,,blaOXA-217,2026-03-24.1,blaOXA-217__NG_049516.1,WP_031978611.1,Beta-lactam,Carbapenemase (OXA-51 family),existing,,,,
blaOXA-219,blaOXA,,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-219,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_063861765.1,NG_049517.1,No,AEL17179.1,JN215211.1,+,1,825,+,1,825,22422849,,,blaOXA-219,2026-03-24.1,blaOXA-219__NG_049517.1,WP_063861765.1,Beta-lactam,Carbapenemase (OXA-51 family),existing,,,,
blaOXA-22,blaOXA,,benzylpenicillin-hydrolyzing class D beta-lactamase OXA-22,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,WP_063861776.1,NG_049518.1,No,AAD12233.1,AF064820.3,+,952,1776,+,101,925,10898703,,,blaOXA-22,2026-03-24.1,blaOXA-22__NG_049518.1,WP_063861776.1,Beta-lactam,Beta-lactam,existing,,,,
blaOXA-223,blaOXA,,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-223,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_001022758.1,NG_049519.1,No,AEL88491.1,JN248564.1,+,1,825,+,1,825,22422849,,,blaOXA-223,2026-03-24.1,blaOXA-223__NG_049519.1,WP_001022758.1,Beta-lactam,Carbapenemase (OXA-51 family),existing,,,,
blaOXA-224,blaOXA,,OXA-1 family class D beta-lactamase OXA-224,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,WP_063861812.1,NG_049520.1,No,AEQ73521.1,JN596991.2,+,2281,3111,+,101,931,22290962,,,blaOXA-224,2026-03-24.1,blaOXA-224__NG_049520.1,WP_063861812.1,Beta-lactam,Beta-lactam,existing,,,,
blaOXA-225,blaOXA,,OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-225,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_063861820.1,NG_049521.1,No,AEP43731.1,JN638887.1,+,1,822,+,1,822,,,,blaOXA-225,2026-03-24.1,blaOXA-225__NG_049521.1,WP_063861820.1,Beta-lactam,Carbapenemase,existing,,,,
blaOXA-226,blaOXA,,OXA-2 family inhibitor-resistant extended-spectrum class D beta-lactamase OXA-226,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_063861826.1,NG_049522.1,No,ACM67635.1,FJ617207.1,+,1,828,+,1,828,"1,993,379,340,067,040",,,blaOXA-226,2026-03-24.1,blaOXA-226__NG_049522.1,WP_063861826.1,Beta-lactam,ESBL,existing,,,,
